;DataType;Description;Name;GroupName_0;GroupName_1;GroupName_2;nhtsa_abbreviation;values_url
1;string;<p>This field stores any other battery information that does not belong to any of the other battery related fields.</p>;Other Battery Info;Mechanical;Battery;;BatteryInfo;
2;lookup;<p>Battery type field stores the battery chemistry type for anode, cathode.</p>;Battery Type;Mechanical;Battery;;BatteryType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/2?format=json
3;lookup;<p>Bed type is the type of bed (the open back) used for pickup trucks. The common values are standard, short, long, extended.</p>;Bed Type;Exterior;Truck;;BedType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/3?format=json
4;lookup;<p>Cab type applies to both pickup truck and other medium- and heavy-duty trucks. The cab or cabin of a truck is the inside space in a truck where the driver is seated. For pickup trucks, the cab type is categorized by the combination number of doors and number of rows for seating. For medium- and heavy-duty trucks (MDHD), the cab type is categorized by the relative location of engine and cab.</p><p>For pickup trucks, there are four cab types.</p><ul><li>Regular: 2 door, 1 row of seats</li><li>Extra/Super/Quad/Double/King/Extended: 2 doors, 2 rows of seats</li><li>Crew/Super Crew/Crew Max: 4 doors, 2 rows of seats</li><li>Mega: 4 doors, 2 rows of seats (with a bigger cabin than crew cab type)</li></ul><p>For medium- and heavy-duty (MDHD) trucks, there are several categories as listed below.</p><ul><li>Cab Beside Engine</li><li>CAE: Cab Above Engine</li><li>CBE: Cab Behind Engine</li><li>COE: Cab Over Engine or Flat Nose: Driver sits on top of the front axle and engine</li><li>LCF: Low Cab Forward</li><li>Conventional: Driver sits behind the engine</li><li>Non-Tilt</li><li>Tilt</li></ul>;Cab Type;Exterior;Truck;;BodyCabType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/4?format=json
5;lookup;"<p>Body Class presents the body type based on 49 CFR 565.12(b): ""Body type means the general configuration or shape of a vehicle distinguished by such characteristics as the number of doors or windows, cargo-carrying features and the roofline (e.g., sedan, fastback, hatchback)."" Definitions are not provided for individual body types in the regulation.</p>";Body Class;Exterior;Body;;BodyClass;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/5?format=json
9;int;<p>This is a numerical field to store the number of cylinders in an engine. Common values for passenger cars are 4 or 6.</p>;Engine Number of Cylinders;Engine;;;EngineCylinders;
10;lookup;<p>Destination Market is the market where the vehicle is intended to be sold.</p>;Destination Market;General;;;DestinationMarket;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/10?format=json
11;decimal;<p>Engine displacement (in cubic centimeters) is the volume swept by all the pistons inside the cylinders of a reciprocating engine in a single movement from top dead center to bottom dead center.</p>;Displacement (CC);Engine;;;DisplacementCC;
12;decimal;<p>Engine displacement (in cubic inches) is the volume swept by all the pistons inside the cylinders of a reciprocating engine in a single movement from top dead center to bottom dead center.</p>;Displacement (CI);Engine;;;DisplacementCI;
13;decimal;<p>Engine displacement (in liters) is the volume swept by all the pistons inside the cylinders of a reciprocating engine in a single movement from top dead center to bottom dead center.</p>;Displacement (L);Engine;;;DisplacementL;
14;int;<p>This is a numerical field to store the number of doors on a vehicle.</p>;Doors;Exterior;Body;;Doors;
15;lookup;<p>Drive type stores information about vehicle drivetrain configuration. The most common drive types for passenger cars, crossover vehicles, and pickup trucks are front-wheel drive (FWD), rear-wheel drive (RWD), all-wheel drive (AWD), and 4-wheel drive (4WD).</p>;Drive Type;Mechanical;Drivetrain;;DriveType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/15?format=json
17;int;<p>Engine stroke cycle is a numerical field for the number of strokes used by an internal combustion engine to complete a power cycle.</p>;Engine Stroke Cycles;Engine;;;EngineCycles;
18;string;<p>Engine model is a name that a manufacturer applies to a family of engine.</p>;Engine Model;Engine;;;EngineModel;
21;decimal;<p>This field stores engine power in kilowatts (kW).</p>;Engine Power (kW);Engine;;;EngineKW;
23;lookup;<p>This field defines the type of different entertainment systems in vehicles.</p>;Entertainment System;Interior;;;EntertainmentSystem;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/23?format=json
24;lookup;<p>Fuel type defines the fuel used to power the vehicle. For vehicles that have two power sources, such as plug-in hybrid vehicle, both primary fuel type and secondary fuel type will be provided.</p>;Fuel Type - Primary;Engine;;;FuelTypePrimary;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/24?format=json
25;lookup;"<p>Gross vehicle weight rating (GVWR) is the maximum operating weight of a vehicle including the vehicle's chassis, body, engine, engine fluids, fuel, accessories, driver, passengers and cargo, but excluding that of the trailers. Per 49 CFR 565.15, Class 1 is further broken down to Class A-D; Class 2 is further broken down to Class E-H. This field captures the lower bound of GVWR range for the vehicle.</p>";Gross Vehicle Weight Rating From;Exterior;Dimension;;GVWR;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/25?format=json
26;lookup;<p>Per 49 CFR 565, Make is a name that a manufacturer applies to a group of vehicles or engines.</p>;Make;General;;;Make;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/26?format=json
27;lookup;Name of the vehicle manufacturer.;Manufacturer Name;General;;;Manufacturer;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/27?format=json
28;lookup;<p>Per 49 CFR 565, Model means a name that a manufacturer applies to a family of vehicles of the same type, make, line, series and body type.</p>;Model;General;;;Model;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/28?format=json
29;int;<p>If the model year (MY) is supplied when the VIN is decoded, such as from a crash report or a vehicle registration record, the MY value will be the supplied MY, even if the MY decoded from the VIN differs from the supplied MY. If the MY is not supplied when the VIN is decoded, the MY value will be decoded from the 10th character in the VIN.</p>;Model Year;General;;;ModelYear;
31;string;<p>This data element captures the city of the manufacturing plant where the manufacturer affixes the VIN.</p>;Plant City;General;;;PlantCity;
33;int;<p>This data element is a numeric field to store the number of seats in a vehicle.</p>;Number of Seats;Interior;Seat;;Seats;
34;string;"<p>Per 49 CFR 565, Series means a name that a manufacturer applies to a subdivision of a ""line"" denoting price, size or weight identification and that is used by the manufacturer for marketing purposes.</p>";Series;General;;;Series;
36;lookup;<p>This data element captures the location of steering column, either on left- (LHD) or right-hand side (RHD).</p>;Steering Location;Interior;;;SteeringLocation;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/36?format=json
37;lookup;<p>Transmission style provides information about the type of transmissions. The major types of transmissions are manual transmission, automatic transmission, continuously variable transmission (CVT), and dual-clutch transmission (DCT).</p> ;Transmission Style;Mechanical;Transmission;;TransmissionStyle;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/37?format=json
38;string;<p>Trim levels further identify a vehicle by a particular set of special features. Higher trim levels either will add to the features of the base (entry-level model), or replace them with something else.</p>;Trim;General;;;Trim;
39;lookup;<p>This field defines the type of the vehicle based on the World Manufacturer Identifier (WMI).</p>;Vehicle Type;General;;;VehicleType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/39?format=json
40;int;<p>This field defines the number of windows on a vehicle.</p>;Windows;Exterior;Body;;Windows;
41;int;<p>This numerical field defines the number of axles on a vehicle.</p>;Axles;Mechanical;Drivetrain;;Axles;
42;lookup;<p>Brake system type is the type of brake systems used to stop and hold the vehicle or combination of motor vehicles.</p>;Brake System Type;Mechanical;Brake;;BrakeSystemType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/42?format=json
48;int;<p>This field stores the information about how battery cells are arranged for a vehicle.</p>;Number of Battery Cells per Module;Mechanical;Battery;;BatteryCells;
49;int;<p>Defines the length of the pickup truck bed in inches.</p>;Bed Length (inches);Exterior;Dimension;;BedLengthIN;
52;string;<p>This field provides additional details about the brake system.</p>;Brake System Description;Mechanical;Brake;;BrakeSystemDesc;
54;int;<p>Curb weight (in pounds) is the total weight of a vehicle with standard equipment, all necessary operating consumables such as motor oil, transmission oil, coolant, air conditioning refrigerant, and a full tank of fuel, while not loaded with either passengers or cargo.</p>;Curb Weight (pounds);Exterior;Dimension;;CurbWeightLB;
55;lookup;<p>This field captures the location of curtain air bags. Curtain air bags are side air bags that protect the head.</p>;Curtain Air Bag Locations;Passive Safety System;Air Bag Location;;AirBagLocCurtain;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/55?format=json
56;lookup;<p>This field captures the location of seat cushion air bags, used as a supplement to the seat belts to help prevent the front passenger from sliding forward in the event of a front impact collision.</p>;Seat Cushion Air Bag Locations;Passive Safety System;Air Bag Location;;AirBagLocSeatCushion;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/56?format=json
57;int;<p>Battery Current (Amps) From field stores the lower value for battery current range in the unit of amperes (amps).</p>;Battery Current (Amps) From;Mechanical;Battery;;BatteryA;
58;int;<p>Battery Voltage (Volts) From field stores the lower bound for battery voltage range in the unit of volts.</p>;Battery Voltage (Volts) From;Mechanical;Battery;;BatteryV;
59;decimal;<p>Battery Energy (kWh) From field stores the lower bound of battery energy range in the unit of kilowatt-hour (kWh).</p>;Battery Energy (kWh) From;Mechanical;Battery;;BatteryKWh;
60;lookup;<p>This field describes the wheel base variations for some trucks and passenger cars, relative to other variants of the vehicle model. This field may have values such as short, standard, long, extra long, or super long.</p>;Wheel Base Type;Exterior;Body;;WheelBaseType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/60?format=json
61;int;<p>This data element is a numeric field to capture the number of rows of seats in a vehicle.</p>;Number of Seat Rows;Interior;Seat;;SeatRows;
62;lookup;<p>Valve train design defines engine camshaft design and control. Common values are single overhead cam (SOHC), dual overhead cam (DOHC), overhead valve (OHV), etc.</p>;Valve Train Design;Engine;;;ValveTrainDesign;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/62?format=json
63;int;<p>Transmission speed is a numerical field to capture the number of speeds for a transmission, such as 6 for a six-speed automatic or manual transmission.</p>;Transmission Speeds;Mechanical;Transmission;;TransmissionSpeeds;
64;lookup;<p>Engine configuration defines how engine cylinders are arranged. Common values are V6 for V-shaped arrangement, I4 or L4 for in-line arrangement.</p>;Engine Configuration;Engine;;;EngineConfiguration;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/64?format=json
65;lookup;"<p>This field captures the location of frontal air bags. Frontal air bags are generally designed to deploy in ""moderate to severe"" frontal or near-frontal crashes.</p>";Front Air Bag Locations;Passive Safety System;Air Bag Location;;AirBagLocFront;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/65?format=json
66;lookup;Fuel type defines the fuel used to power the vehicle. For vehicles that have two power sources, such as plug-in hybrid vehicle, both primary fuel type and secondary fuel type will be provided.;Fuel Type - Secondary;Engine;;;FuelTypeSecondary;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/66?format=json
67;lookup;<p>Fuel Delivery / Fuel Injection Type defines the mechanism through which fuel is delivered to the engine.</p>;Fuel Delivery / Fuel Injection Type;Engine;;;FuelInjectionType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/67?format=json
69;lookup;<p>This field captures the location of knee air bags, which deploy from a car's lower dashboard, are meant to distribute impact forces on an occupant's legs in the case of a crash, thereby reducing leg injuries.</p>;Knee Air Bag Locations;Passive Safety System;Air Bag Location;;AirBagLocKnee;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/69?format=json
71;decimal;<p>Engine brake is the horsepower (hp) at the engine output shaft. Engine Brake (hp) From is the lower value of the range.</p>;Engine Brake (hp) From;Engine;;;EngineHP;
72;lookup;<p>EV Drive Unit field stores electric vehicle (EV) motor configuration for single or dual motor.</p>;EV Drive Unit;Mechanical;Battery;;EVDriveUnit;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/72?format=json
75;lookup;<p>This data element captures the country of the manufacturing plant where the manufacturer affixes the VIN.</p>;Plant Country;General;;;PlantCountry;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/75?format=json
76;string;<p>This data element captures the name of the company that owns the manufacturing plant  where the manufacturer affixes the VIN.</p>;Plant Company Name;General;;;PlantCompanyName;
77;string;<p>This data element captures the State or Province name within the Plant Country of the manufacturing plant where the manufacturer affixes the VIN.</p>;Plant State;General;;;PlantState;
78;lookup;<p>This yes/no field captures whether or not the vehicle has a pretensioner, a device designed to make seatbelts even more effective by removing the slack from a seatbelt as soon as a crash is detected or if the system senses excessive seatbelt tension on the driver's or passenger's seatbelt.</p>;Pretensioner;Passive Safety System;;;Pretensioner;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/78?format=json
79;lookup;<p>This field describes the type of seat belt, such as manual or automatic. Automatic seat belts automatically close over riders in a vehicle. Automatic seat belts were mainly used in some older model GM, Nissan, and Honda vehicles and are rarely seen now.</p>;Seat Belt Type;Passive Safety System;;;SeatBeltsAll;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/79?format=json
81;lookup;<p>ACC automatically adjusts the vehicle’s speed to keep a pre-set distance from the vehicle in front of it.</p>;Adaptive Cruise Control (ACC);Active Safety System;Maintaining Safe Distance;;AdaptiveCruiseControl;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/81?format=json
86;lookup;"<p>Anti-lock Braking System (ABS) means a portion of a service brake system that automatically controls the degree of rotational wheel slip during braking by: (1) Sensing the rate of angular rotation of the wheels; (2) Transmitting signals regarding the rate of wheel angular rotation to one or more controlling devices that interpret those signals and generate responsive controlling output signals; and (3) Transmitting those controlling signals to one or more modulator devices that adjust brake actuating forces in response to those signals.</p>";Anti-lock Braking System (ABS);Active Safety System;;;ABS;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/86?format=json
87;lookup;<p>A CIB system is an automatic emergency braking system designed to detect an impending forward crash with another vehicle. CIB systems automatically apply the brakes in a crash imminent situation to slow or stop the vehicle, avoiding the crash or reducing its severity, if the driver does not brake in response to a forward collision alert.</p>;Crash Imminent Braking (CIB);Active Safety System;Forward Collision Prevention;;CIB;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/87?format=json
88;lookup;<p>BSW alerts drivers with an audio or visual warning if there are vehicles in adjacent lanes that the driver may not see when making a lane change.</p>;Blind Spot Warning (BSW);Active Safety System;Lane and Side Assist;;BlindSpotMon;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/88?format=json
96;lookup;<p>An internal NHTSA field to capture the body type of the vehicle.</p>;NCSA Body Type;Internal;;;NCSABodyType;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/96?format=json
97;lookup;<p>An internal NHTSA field to capture the Make of the vehicle.</p>;NCSA Make;Internal;;;NCSAMake;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/97?format=json
98;lookup;<p>An internal NHTSA field to capture the Model of the vehicle.</p>;NCSA Model;Internal;;;NCSAModel;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/98?format=json
99;lookup;<p>ESC is a computerized technology that improves a vehicle's stability by detecting and reducing loss of traction (skidding). When ESC detects loss of steering control, it automatically applies the brakes to help steer the vehicle in the driver's intended direction. Braking is automatically applied to wheels individually, such as the outer front wheel to counter oversteer, or the inner rear wheel to counter understeer. Some ESC systems also reduce engine power until control is regained.</p>;Electronic Stability Control (ESC);Active Safety System;;;ESC;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/99?format=json
100;lookup;<p>When the traction control computer detects a driven wheel or wheels spinning significantly faster than another, it invokes an electronic control unit to apply brake friction to wheels spinning due to loss of traction. This braking action on slipping wheels will cause power transfer to the wheels with traction due to the mechanical action within the differential.</p>;Traction Control;Active Safety System;;;TractionControl;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/100?format=json
101;lookup;<p>An FCW system monitors a vehicle's speed, the speed of the vehicle in front of it, and the distance between the vehicles. If the vehicles get too close due to the speed of either vehicle, the FCW system will warn the driver of the rear vehicle of an impending crash so that the driver can apply the brakes or take evasive action, such as steering, to prevent a potential crash. FCW systems provide an audible, visual, or haptic warning, or any combination thereof, to alert the driver of an FCW-equipped vehicle of a potential collision.</p>;Forward Collision Warning (FCW);Active Safety System;Forward Collision Prevention;;ForwardCollisionWarning;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/101?format=json
102;lookup;<p>An LDW system monitors lane markings and alerts the driver if their vehicle drifts out of their lane without a turn signal or any control input indicating the lane departure is intentional. An audio, visual or other alert warns the driver of the unintentional lane shift so the driver can steer the vehicle back into its lane.</p>;Lane Departure Warning (LDW);Active Safety System;Lane and Side Assist;;LaneDepartureWarning;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/102?format=json
103;lookup;<p>An LKA system prevents a driver from unintentionally drifting out of the intended travel lane. LKA systems use information provided by Lane Departure Warning (LDW) system sensors to determine whether a vehicle is about to unintentionally move out of its lane of travel. If so, LKA activates and corrects the steering, brakes or accelerates one or more wheels, or does both, resulting in the vehicle returning to its intended lane of travel.</p>;Lane Keeping Assistance (LKA);Active Safety System;Lane and Side Assist;;LaneKeepSystem;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/103?format=json
104;lookup;<p>A backup camera, also known as a rearview video system, helps prevent back-over crashes and protects our most vulnerable people - children and senior citizens - by providing an image of the area behind the vehicle. A backup camera helps the driver see behind the vehicle while in reverse.</p>;Backup Camera;Active Safety System;Backing Up and Parking;;RearVisibilitySystem;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/104?format=json
105;lookup;<p>A parking assist system uses computer processors, back up cameras, surround-view cameras, and sensors to assist with steering and other functions during parking. Drivers may be required to accelerate, brake, or select gear position. Some systems are capable of parallel and perpendicular parking. Drivers must constantly supervise this support feature and maintain responsibility for parking.</p>;Parking Assist;Active Safety System;Backing Up and Parking;;ParkAssist;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/105?format=json
107;lookup;<p>This field captures the location of side air bags, typically designed for three areas of added protection: chest/torso, head, or both.</p>;Side Air Bag Locations;Passive Safety System;Air Bag Location;;AirBagLocSide;https://vpic.nhtsa.dot.gov/api/vehicles/getvehiclevariablevalueslist/107?format=json
109;string;This data element captures additional information about trim of the vehicle.;Trim2;General;;;Trim2;
110;string;<p>This data element captures additional information about series of the vehicle.</p>;Series2;General;;;Series2;
